id,name,full_name,additional_name,uid,parent_name,legal,district_name,education_level_id,education_level_name,head_fio,ip_oo,org_founders_type_name,inn,ogrn,kpp,okogu,okopf,okato,okved,oktmo,okfs,total_place,occupied_place,shift_name,institution_status_id,institution_status_name,institution_type_name,program_type_arr,adaptability_type_arr,origin_address,origin_legal_address,phone,phone_add,email,site_url,region_id,orientation_name,count,in_user_region,in_user_institution,_isContextDisabled,isBlocked,site_available,site_title,site_keywords,site_descriptions,social_urls
4769,"МБУ ДО ""Ольхонский ДДТ""","Муниципальное бюджетное учреждение дополнительного образования ""Ольхонский дом детского творчества""",,b7842824-513d-41f7-945d-2339eaca3ec5,,,,,,  ,1,,3836002253,1023802704507,,,Муниципальные бюджетные учреждения,,,,Государственная собственность,,433.0,,1.0,Функционирует,Организация дополнительного образования,,,"обл. Иркутская, р-н. Ольхонский, п. Еланцы, ул. Пенкальского, 666130",,83955852990,,olkhonddt@rambler.ru,http://ддт.уо-ормо.рф,30,"""Туристско-краеведческая"", ""Художественная"", ""Социально-педагогическая"", ""Техническая""",1562,True,True,False,False,True,"Муниципальное бюджетное учреждение дополнительного образования ""Ольхонский ДДТ"" | Предоставление услуг в электронном виде",[''],[''],[]
5661,"МКУ ДО ""ЦДОД Карабудахкентского района""","МУНИЦИПАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ДОПОЛНИТЕЛЬНОГО ОБРАЗОВАНИЯ ""ЦЕНТР ДОПОЛНИТЕЛЬНОГО ОБРАЗОВАНИЯ ДЕТЕЙ КАРАБУДАХКЕНТСКОГО РАЙОНА""",,a1c05afb-0004-405f-ab31-564f9c620036,,,,,,  ,1,,0522020136,1130522000498,,,,,,,,,,,1.0,Функционирует,Организация дополнительного образования,,,"Респ. Дагестан, р-н. Карабудахкентский, с. Карабудахкент, 368530",,89618341404,,cdodkarab@mail.ru,http://,74,"""Техническая"", ""Естественнонаучная"", ""Художественная"", ""Туристско-краеведческая""",1562,True,True,False,False,False,,[],[],[]
196,МБУ ДО ЭБС Гудермесского муниципального района,"Муниципальное бюджетное учреждение дополнительного образования ""Эколого-биологическая станция"" Гудермесского муниципального района",,be967bfc-72e3-49f3-adbf-482d623fc98a,,,,,,  ,1,,2005006948,1092032001291,,,Муниципальные бюджетные учреждения,,,,Государственная собственность,,1632.0,,,,Организация дополнительного образования,,,"Респ. Чеченская, р-н. Гудермесский, г. Гудермес, пр-кт. А.Кадырова, дом 14, 366200",,89286423301,,ebs-099@mail.ru,http://eko-gudermes.dod95.ru,13,Естественнонаучная,1562,True,True,False,False,True,,[],[],[]
6878,ГБОУ СОШ №282 Кировского района Санкт-Петербурга,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа №282 с углубленным изучением французского языка Кировского района Санкт-Петербурга,,885e8901-cc67-437e-a596-27c94f8b6073,,,,,,  ,1,,7805149302,1027802730603,,,Государственные бюджетные учреждения субъектов Российской Федерации,,,,Государственная собственность,,780.0,,1.0,Функционирует,Общеобразовательная организация,,,"г. Санкт-Петербург, б-р. Новаторов, дом 104, лит. А, 198217",,89217438835,,sc387@kirov.spb.ru,http://sc282fran.ucoz.ru,10,"""Естественнонаучная"", ""Физкультурно-спортивная"", ""Художественная"", ""Социально-педагогическая""",1562,True,True,False,False,True,Главная страница,[],[],[]
5854,МБУДО ДЮЦ г. Южа,"Муниципальное бюджетное учреждение дополнительного образования ""Детско-юношеский центр"" г. Южа",,fe3cae9f-e689-4828-83fb-05752f6de1ed,,,,,,  ,1,,3726003007,1023701829623,,,,,,,,,,,1.0,Функционирует,Организация дополнительного образования,,,"обл. Ивановская, р-н. Южский, г. Южа, ул. Черняховского, дом 11, 155630",,84934721272,,ugaduc@mail.ru,https://portal.iv-edu.ru/dep/mouojuga/duc_juga/default.aspx,29,"""Художественная"", ""Техническая"", ""Интеллектуальные игры""",1562,True,True,False,,True,"
	
	Домашняя - МБУДО ""Детско-юношеский центр""

",[],[],"[['vk', 'https://vk.com/club150817333?w=wall-150817333_986%2Fall', -1], ['vk', 'https://vk.com/club150817333', -1]]"
7400,КГАОУ ДО РМЦ,"Краевое государственное автономное образовательное учреждение дополнительного образования ""Центр развития творчества детей (Региональный модельный центр дополнительного образования детей Хабаровского края)""",,7683b04c-603d-42aa-85f6-bb0448b9aa49,,,,,,  ,1,,2721157636,1082721002220,,,Государственные автономные учреждения субъектов Российской Федерации,,,,Государственная собственность,,,,1.0,Функционирует,Организация дополнительного образования,,,,,84212305713,,Yung_khb@mail.ru,http://www.kcdod.khb.ru/,19,"""Естественнонаучная"", ""Социально-педагогическая"", ""Художественная"", ""Физкультурно-спортивная"", ""Туристско-краеведческая"", ""Техническая""",1562,True,True,False,False,True,Центр развития творчества детей,"['КГАОУ ДО РМЦ, РМЦ, Региональный модельный центр, Хабаровский край, дополнительное образование, Краевое государственное автономное образовательное учреждение дополнительного образования, Центр развития творчества детей']",['КГАОУ ДО «Центр развития творчества детей (Региональный модельный центр дополнительного образования детей Хабаровского края)»'],"[['facebook', 'http://www.facebook.com/dop.obrazovanie27/', 173], ['instagram', 'http://www.instagram.com/dop.obrazovanie27/', -1], ['vk', 'http://vk.com/dop.obrazovanie27', -1]]"
847,МБОУ-СОШ с. Золотая Степь Советского района Саратовской области,Муниципальное бюджетное общеобразовательное учреждение-средняя общеобразовательная школа с. Золотая Степь Советского района Саратовской области,,f5192b48-368b-4b52-8e5a-2ad2f2a639ab,,,,,,  ,1,,6433006405,1026401993012,,,Муниципальные бюджетные учреждения,,,,Государственная собственность,,182.0,,,,Общеобразовательная организация,,,"обл. Саратовская, р-н. Советский, с. Золотая Степь, ул. Садовая, дом 5, 413200",,78456669123,,lyu13618005@yandex.ru,http://zolstep.ucoz.ru,51,"""Физкультурно-спортивная"", ""Естественнонаучная"", ""Социально-педагогическая"", ""Художественная"", ""Техническая""",1562,True,True,False,False,True,МАОУ-СОШ с.Золотая Степь Советского района - Главная страница,[],[],[]
3582,ГБОУ СОШ № 303 им. Фридриха Шиллера Фрунзенского района Санкт-Петербурга,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 303 с углубленным изучением немецкого языка и предметов художественно-эстетического цикла имени Фридриха Шиллера Фрунзенского района Санкт-Петербурга,,5594be8f-3b2c-401a-b4bb-a55615c8cc18,,,,,,  ,1,,7816165232,1027807992850,,,Государственные бюджетные учреждения субъектов Российской Федерации,,,,Государственная собственность,,2224.0,,1.0,Функционирует,Общеобразовательная организация,,,"г. Санкт-Петербург, ул. Пражская, дом 36, лит. А, 192241",,88122463076,88122463070,school303@edu-frn.spb.ru,http://www.school303.spb.ru/,10,"""Естественнонаучная"", ""Социально-педагогическая"", ""Техническая"", ""Туристско-краеведческая"", ""Физкультурно-спортивная"", ""Художественная""",1562,True,True,False,False,False,,[],[],[]
1395,МАУДО ЦДОД г. Сосновоборска,"муниципальное автономное учреждение дополнительного образования ""Центр дополнительного образования детей"" города Сосновоборска",,c465b789-db35-4c07-b831-80e7552cbc1e,,,,,,  ,1,,2458006551,1022400559642,,,Муниципальные автономные учреждения,,,,Государственная собственность,,730.0,,,,Организация дополнительного образования,,,"край. Красноярский, г. Сосновоборск, ул. Солнечная, дом 8, 662500",,83913128607,83913128605,nademashkina@yandex.ru,http://,16,"""Социально-педагогическая"", ""Туристско-краеведческая"", ""Физкультурно-спортивная"", ""Естественнонаучная"", ""Художественная""",1562,True,True,False,False,False,,[],[],[]
2348,Вейделевский ДДТ,"Муниципальное учреждение дополнительного образования ""Вейделевский районный Дом детского творчества""",,3dfc0077-a9cb-4622-860f-e7afbb2b3a50,,,,,,  ,1,,3105003043,1023102161532,,,Муниципальные казенные учреждения,,,,Государственная собственность,,1006.0,,,,Организация дополнительного образования,,,"обл. Белгородская, р-н. Вейделевский, п. Вейделевка, ул. Центральная, 309720",,84723755568,,ddt_vejd@mail.ru,http://ddtvejd.my1.ru/,23,"""Социально-педагогическая"", ""Техническая"", ""Туристско-краеведческая"", ""Физкультурно-спортивная"", ""Художественная""",1562,True,True,False,False,True,Дом детского творчества - Главная страница,[''],[''],[]
2960,ГБОУ гимназия №92 Выборгского района Санкт-Петербурга,Государственное бюджетное общеобразовательное учреждение гимназия №92 Выборгского района Санкт-Петербурга,,687ef652-a96d-4241-8a67-9be7ef764f48,,,,,,  ,1,,7802105160,1027801583655,,,Государственные бюджетные учреждения субъектов Российской Федерации,,,,Государственная собственность,,992.0,,1.0,Функционирует,Общеобразовательная организация,,,"г. Санкт-Петербург, пр-кт. Тореза, дом 94, кор. 1, лит. А, 194017",,88122939834,,092@shko.la,http://gymnasium92.ru/,10,"""Естественнонаучная"", ""Физкультурно-спортивная"", ""Социально-педагогическая""",1562,True,True,False,False,True,Íîâîñòè 2020/2021,[''],[],"[['vk', 'https://vk.com/public175800783', -1]]"
3939,"МБУДО ""Ичалковский дом творчества"" с. Кемля","Муниципальное бюджетное учреждение дополнительного образования "" Ичалковский  дом творчества"" Ичалковского муниципального района",,5b7569e0-632b-44dc-93a5-14b7cf971c15,,,,,,  ,1,,1310188315,1091310000770,,,,,,,Государственная собственность,,1065.0,,1.0,Функционирует,Организация дополнительного образования,,,"Респ. Мордовия, р-н. Ичалковский, с. Кемля, ул. Советская, 431640",,88343321774,,domdt27@mail.ru,http://ddtich.schoolrm.ru/sveden/,9,"""Художественная"", ""Естественнонаучная"", ""Социально-педагогическая"", ""Техническая"", ""Туристско-краеведческая""",1562,True,True,False,,True,Страница не найдена,[],[],[]
5481,МАУДО «Центр развития» с. Александровка,Муниципальное автономное учреждение дополнительного образования Александровского района Оренбургской области «Центр развития»,,4fb57b30-d0fd-4eb7-9724-13243f4d32c9,,,,,,  ,1,,5621005868,1025603294970,,,Муниципальные автономные учреждения,,,,Государственная собственность,,1214.0,,1.0,Функционирует,Организация дополнительного образования,,,"обл. Оренбургская, р-н. Александровский, с. Александровка, ул. Мичурина, 461830",,83535921261,,alex_cvr@mail.ru,http://alex-cvr.ucoz.ru/,91,"""Техническая"", ""Художественная"", ""Физкультурно-спортивная"", ""Социально-педагогическая"", ""Туристско-краеведческая"", ""Естественнонаучная""",1562,True,True,False,,True,"МАУДО ""Центр развития"" - Главная страница",[],[],"[['vk', 'https://vk.com/id485128728', -1], ['vk', 'https://vk.com/nurgaleiz', -1], ['vk', 'https://vk.com/public189981859', -1]]"
3766,"МБУ ДО ДЮФХЦ ""Ракурс"" города Орла","Муниципальное бюджетное учреждение дополнительного образования ""Детско-юношеский фотохудожественный центр ""Ракурс"" города Орла""",,a96c4a51-b222-4fa9-9257-4b8840423fcf,,,,,,  ,1,,5752017169,1025700780291,,,Муниципальные бюджетные учреждения,,,,Государственная собственность,,277.0,,,,Организация дополнительного образования,,,"обл. Орловская, г. Орёл, ул. Черкасская, дом 74, лит. -, 302026",,84862591351,,rakursorel@yandex.ru,http://rakursorel.ru,92,"""Художественная"", ""Техническая"", ""Социально-педагогическая"", ""Туристско-краеведческая""",1562,True,True,False,,True,Портал для путешественников. Германия. Испания. Кипр. Бельгия. Марокко. Вьетнам. Грузия и другие страны,[],[''],[]
2708,ГБОУ гимназия № 426 Петродворцового района Санкт-Петербурга,Государственное бюджетное общеобразовательное учреждение гимназия № 426 Петродворцового района Санкт-Петербурга,,13867285-71fa-4c11-90df-1ccd6fb9e7bb,,,,,,  ,1,,7823005007,1027808910557,,,Государственные бюджетные учреждения субъектов Российской Федерации,,,,Государственная собственность,,853.0,,1.0,Функционирует,Общеобразовательная организация,,,"г. Санкт-Петербург, г. Ломоносов, ул. Владимирская, дом 28, лит. А, 198412",,88124174147,88124174363,school426-spb@yandex.ru,http://gimnaziya426-spb.ru,10,"""Техническая"", ""Социально-педагогическая"", ""Физкультурно-спортивная"", ""Туристско-краеведческая"", ""Художественная""",1562,True,True,False,False,True,Главная,"['Гимназия 426, Ломоносов, Санкт-Петербург']",['Официальный сайт ГБОУ гимназии № 426 Петродворцового района Санкт-Петербурга'],[]
3471,МКУ ДО Шатровский ДДЮ,Муниципальное казённое учреждение дополнительного образования «Шатровский Дом детства и юношества»,,96b658c0-1b29-4efe-ba0c-90fb341a742f,,,,,,  ,1,,4523003123,1034545001810,,,,,,,,,782.0,,1.0,Функционирует,Организация дополнительного образования,,,"обл. Курганская, р-н. Шатровский, с. Шатрово, ул. Федосеева, дом 57, 641960",,83525791139,,shatddt@mail.ru,http://shatddy.ucoz.ru,37,"""Естественнонаучная"", ""Социально-педагогическая"", ""Техническая"", ""Туристско-краеведческая"", ""Художественная""",1562,True,True,False,,True,"Главная страница - ""ДОМ ДЕТСТВА И ЮНОШЕСТВА""",[],[],[]
3284,МОУ Байдулинская СОШ,"Муниципальное общеобразовательное учреждение ""Байдулинская средняя общеобразовательная школа""муниципального образования ""Тереньгульский район""Ульяновской области",,c5a068e9-4720-4e00-833b-56f474f38da3,,,,,,  ,1,,7320002899,1027300932273,,,,,,,,,108.0,,,,Общеобразовательная организация,,,"обл. Ульяновская, р-н. Тереньгульский, с. Байдулино, ул. 50 лет Победы, дом 12, 433355",,88423435215,,baissu@yandex.ru,http://baidulino-sosh.ucoz.net,60,"""Физкультурно-спортивная"", ""Социально-педагогическая"", ""Художественная"", ""Техническая""",1562,True,True,False,False,True,МОУ Байдулинская СОШ - Информация о школе,[],[],[]
